domain,group_type,size_bin,budget_tier,algo,win_count,n_instances,post_mean_p_best,post_p05,post_p95
continuous,ackley,d<=10,B10000,RS,0,2,0.1663627634756146,0.010541169240042112,0.4497023487516016
continuous,ackley,d<=10,B10000,HC,0,2,0.1641749621963322,0.011016085896573139,0.44391758503650897
continuous,ackley,d<=10,B10000,SA,0,2,0.1684307800846056,0.009360420542358763,0.4547420814888866
continuous,ackley,d<=10,B10000,DE,2,2,0.5010314942434481,0.17982955155989971,0.8138103144680452
continuous,ackley,d<=10,B2000,RS,0,2,0.16151377294940322,0.009497115112361471,0.4342494008168917
continuous,ackley,d<=10,B2000,HC,0,2,0.16875073464219342,0.011059179881557352,0.45347934268058
continuous,ackley,d<=10,B2000,SA,2,2,0.5018877762356482,0.19464997984078808,0.8064548761909022
continuous,ackley,d<=10,B2000,DE,0,2,0.16784771617275376,0.0109601839419883,0.4540089893215591
continuous,ackley,d<=5,B10000,RS,0,4,0.1249054019284248,0.006344181170811621,0.34943182395555583
continuous,ackley,d<=5,B10000,HC,0,4,0.1256095276338857,0.007144213260199812,0.35163404552870753
continuous,ackley,d<=5,B10000,SA,1,4,0.25048603804694386,0.05438106823909171,0.5199221819968708
continuous,ackley,d<=5,B10000,DE,3,4,0.4989990323907482,0.22613498674707477,0.7823051509951229
continuous,ackley,d<=5,B2000,RS,0,4,0.12686577039458177,0.0074609418241735155,0.35538903211083833
continuous,ackley,d<=5,B2000,HC,0,4,0.12246314354159221,0.006862244705719735,0.348518936299652
continuous,ackley,d<=5,B2000,SA,0,4,0.12572035921445157,0.007725556693229659,0.3573097306648387
continuous,ackley,d<=5,B2000,DE,4,4,0.624950726849378,0.34134056569502746,0.8745693358881962
continuous,ackley,d>10,B10000,RS,0,1,0.195159912783562,0.012267856668715646,0.5236679981932622
continuous,ackley,d>10,B10000,HC,0,1,0.20370004172850112,0.012602547157349092,0.5342029769898672
continuous,ackley,d>10,B10000,SA,1,1,0.402561808531509,0.0998689987681943,0.761358763218887
continuous,ackley,d>10,B10000,DE,0,1,0.19857823695642834,0.012896217107213802,0.5337233022277558
continuous,ackley,d>10,B2000,RS,0,1,0.20243580157589838,0.013320309167782936,0.5465774394696667
continuous,ackley,d>10,B2000,HC,0,1,0.19845010713822206,0.012302406450089712,0.5155019645287433
continuous,ackley,d>10,B2000,SA,1,1,0.3950381443210066,0.0967444354147378,0.7413050411767466
continuous,ackley,d>10,B2000,DE,0,1,0.20407594696487225,0.01384724413947934,0.5248994102951685
continuous,rastrigin,d<=10,B10000,RS,0,2,0.16590128952270508,0.01009487260456585,0.4551153175981112
continuous,rastrigin,d<=10,B10000,HC,0,2,0.16077838331596556,0.009203325417779984,0.44381626644578626
continuous,rastrigin,d<=10,B10000,SA,2,2,0.5040799164339675,0.18856894002801908,0.8194055225207886
continuous,rastrigin,d<=10,B10000,DE,0,2,0.16924041072736407,0.009730249573526705,0.45322577227865635
continuous,rastrigin,d<=10,B2000,RS,0,2,0.1653705732482292,0.010020363764280478,0.44835074520188883
continuous,rastrigin,d<=10,B2000,HC,0,2,0.168640865501227,0.01081492465406488,0.44568208209999477
continuous,rastrigin,d<=10,B2000,SA,2,2,0.4978846519899067,0.18645766902058183,0.8036840471861472
continuous,rastrigin,d<=10,B2000,DE,0,2,0.16810390926063803,0.010386379545460053,0.4551166425440948
continuous,rastrigin,d<=5,B10000,RS,0,4,0.1263218608487434,0.007505063274794445,0.35024843570304653
continuous,rastrigin,d<=5,B10000,HC,0,4,0.12580345935348286,0.007832857371288278,0.35185731694302336
continuous,rastrigin,d<=5,B10000,SA,2,4,0.3727510361531305,0.1254790850720718,0.6501254170421035
continuous,rastrigin,d<=5,B10000,DE,2,4,0.375123643644642,0.1306940529393841,0.6642908197685953
continuous,rastrigin,d<=5,B2000,RS,0,4,0.12674515828335922,0.007188002717657972,0.35612889200295245
continuous,rastrigin,d<=5,B2000,HC,1,4,0.25154182639716793,0.05460941230328976,0.5279354974519983
continuous,rastrigin,d<=5,B2000,SA,3,4,0.4996339222302541,0.22284446089055085,0.7772265139193564
continuous,rastrigin,d<=5,B2000,DE,0,4,0.12207909308921672,0.006786597864941949,0.3476993875397666
continuous,rastrigin,d>10,B10000,RS,0,1,0.20133678544784292,0.012457925180957227,0.5311621064914624
continuous,rastrigin,d>10,B10000,HC,0,1,0.20077064628943012,0.012092069456912453,0.5207110366944978
continuous,rastrigin,d>10,B10000,SA,1,1,0.3973788097145153,0.09783303881315435,0.7506729514086264
continuous,rastrigin,d>10,B10000,DE,0,1,0.2005137585482118,0.011725478109491582,0.5328715938063981
continuous,rastrigin,d>10,B2000,RS,0,1,0.19902994669999696,0.011393075623821788,0.5327807138259582
continuous,rastrigin,d>10,B2000,HC,0,1,0.19708956966401872,0.012488045764671912,0.519384941861539
continuous,rastrigin,d>10,B2000,SA,1,1,0.40345131083398067,0.09954712520088829,0.7543629601678726
continuous,rastrigin,d>10,B2000,DE,0,1,0.20042917280200453,0.013528323002880475,0.5200384317885793
continuous,rosenbrock,d<=10,B10000,RS,0,2,0.1639721828809585,0.009972210736684936,0.44419913832968594
continuous,rosenbrock,d<=10,B10000,HC,0,2,0.1641992839892941,0.009797837290772264,0.44510348979570424
continuous,rosenbrock,d<=10,B10000,SA,0,2,0.1671294747201584,0.010101349536776038,0.4558459179691016
continuous,rosenbrock,d<=10,B10000,DE,2,2,0.5046990584095888,0.20083260481898438,0.8103633934809387
continuous,rosenbrock,d<=10,B2000,RS,0,2,0.16704595472791264,0.009700383726366026,0.45414405652648465
continuous,rosenbrock,d<=10,B2000,HC,0,2,0.16525494272873817,0.00964084370285672,0.4507905478328105
continuous,rosenbrock,d<=10,B2000,SA,2,2,0.5026018179061519,0.1930034980604446,0.8148161206951003
continuous,rosenbrock,d<=10,B2000,DE,0,2,0.16509728463719614,0.010421438542827923,0.4394620767885057
continuous,rosenbrock,d<=5,B10000,RS,0,4,0.12750673231190152,0.00704111947124595,0.35789385535449886
continuous,rosenbrock,d<=5,B10000,HC,0,4,0.12344679935268596,0.007298239922017724,0.34506423737500586
continuous,rosenbrock,d<=5,B10000,SA,0,4,0.12594156875203516,0.007138522058022654,0.341619627414139
continuous,rosenbrock,d<=5,B10000,DE,4,4,0.623104899583378,0.3376864654996069,0.8693116784130712
continuous,rosenbrock,d<=5,B2000,RS,0,4,0.1235322022066117,0.007046949431196267,0.3379200879492755
continuous,rosenbrock,d<=5,B2000,HC,0,4,0.12481400211044923,0.006554054564880387,0.3484095433827759
continuous,rosenbrock,d<=5,B2000,SA,1,4,0.24839403216608202,0.05334672104486649,0.5188483280965911
continuous,rosenbrock,d<=5,B2000,DE,3,4,0.5032597635168564,0.22822396261355582,0.7772872363480053
continuous,rosenbrock,d>10,B10000,RS,0,2,0.16788694122143363,0.010480073114186915,0.4475812409588537
continuous,rosenbrock,d>10,B10000,HC,0,2,0.17000329535399,0.010858580906005983,0.4605040344671086
continuous,rosenbrock,d>10,B10000,SA,2,2,0.49319261337816445,0.1864038837917683,0.8026005133117916
continuous,rosenbrock,d>10,B10000,DE,0,2,0.1689171500464138,0.010445575261439499,0.45743606357576894
continuous,rosenbrock,d>10,B2000,RS,0,2,0.16935374535510045,0.01139058436881955,0.4562461110020787
continuous,rosenbrock,d>10,B2000,HC,0,2,0.1651546769406169,0.010328985399694639,0.44480659626223984
continuous,rosenbrock,d>10,B2000,SA,2,2,0.5015871450117243,0.20124661020421028,0.8082265921129997
continuous,rosenbrock,d>10,B2000,DE,0,2,0.16390443269255753,0.01052557996407293,0.44051694645435646
continuous,sphere,d<=10,B10000,RS,0,2,0.1657763510886381,0.009651880445925012,0.45094123299857575
continuous,sphere,d<=10,B10000,HC,0,2,0.167068062126609,0.011185195509629453,0.44704749540381716
continuous,sphere,d<=10,B10000,SA,0,2,0.16729487817730432,0.010838079396985278,0.4439410625530685
continuous,sphere,d<=10,B10000,DE,2,2,0.49986070860744986,0.18531129697437998,0.8076043774160745
continuous,sphere,d<=10,B2000,RS,0,2,0.16954897121816367,0.010861166972274289,0.4610668538011133
continuous,sphere,d<=10,B2000,HC,0,2,0.16473538843940308,0.010382267676511592,0.44561424722008647
continuous,sphere,d<=10,B2000,SA,2,2,0.49659499514129385,0.1897080011191146,0.8047441041435595
continuous,sphere,d<=10,B2000,DE,0,2,0.16912064520114098,0.010524765632879114,0.4496235065662766
continuous,sphere,d<=5,B10000,RS,0,4,0.12350592264601408,0.0075853687394803315,0.3436923517754393
continuous,sphere,d<=5,B10000,HC,0,4,0.12620541616930192,0.007158801331191561,0.3464238178019176
continuous,sphere,d<=5,B10000,SA,0,4,0.12521196681950064,0.007584642452343161,0.35242805729105975
continuous,sphere,d<=5,B10000,DE,4,4,0.6250766943651838,0.336659003179673,0.8742691210347184
continuous,sphere,d<=5,B2000,RS,0,4,0.12607099348413986,0.007284047356161525,0.34064917129771854
continuous,sphere,d<=5,B2000,HC,0,4,0.12215855734111337,0.007738915460500424,0.34239342495313163
continuous,sphere,d<=5,B2000,SA,0,4,0.12286217742816702,0.007252397850049573,0.33314918434363944
continuous,sphere,d<=5,B2000,DE,4,4,0.6289082717465815,0.3495838773116109,0.8684209673970953
continuous,sphere,d>10,B10000,RS,0,2,0.16564032596204542,0.010313279175151714,0.4535907641895959
continuous,sphere,d>10,B10000,HC,0,2,0.16690525599907327,0.009440395695760733,0.4567631117996231
continuous,sphere,d>10,B10000,SA,2,2,0.5001671014622734,0.1855181974572186,0.8125480927540568
continuous,sphere,d>10,B10000,DE,0,2,0.16728731657660803,0.009406156014403748,0.4459829690960696
continuous,sphere,d>10,B2000,RS,0,2,0.16758898707188452,0.01064186731757586,0.44527025881180826
continuous,sphere,d>10,B2000,HC,0,2,0.16680984964444404,0.01000308535030695,0.4541018670355882
continuous,sphere,d>10,B2000,SA,2,2,0.501226683732297,0.1930642831542965,0.8102479268942417
continuous,sphere,d>10,B2000,DE,0,2,0.16437447955137233,0.010584676412568089,0.44729158810225517
tsp,clustered,n<=30,B10000,RT,0,5,0.11252796883269355,0.006055622312011374,0.3119088199548573
tsp,clustered,n<=30,B10000,2OPT,3,5,0.44257758455082546,0.18863206943587166,0.7107435064850877
tsp,clustered,n<=30,B10000,SA,0,5,0.1103863426067042,0.006227125714239211,0.31313904339390863
tsp,clustered,n<=30,B10000,ILS,2,5,0.33450810400977793,0.11702728231573653,0.5951787445748844
tsp,clustered,n<=30,B2000,RT,0,5,0.11111958991994215,0.006481100800039832,0.30719261135878256
tsp,clustered,n<=30,B2000,2OPT,2,5,0.33273354290478613,0.1135577253040577,0.594842710708075
tsp,clustered,n<=30,B2000,SA,2,5,0.3297861413382724,0.10919778727239221,0.5832183548147408
tsp,clustered,n<=30,B2000,ILS,1,5,0.22636072583700048,0.049224007096399715,0.47337784482551365
tsp,clustered,n<=60,B10000,RT,0,5,0.11019301078567596,0.005963748361245619,0.3085216953747859
tsp,clustered,n<=60,B10000,2OPT,3,5,0.44741113434809104,0.1920340787563027,0.7155340222926388
tsp,clustered,n<=60,B10000,SA,2,5,0.3319173985954749,0.10770582477175347,0.600960423852864
tsp,clustered,n<=60,B10000,ILS,0,5,0.11047845627075839,0.006222153688872751,0.3080979703419272
tsp,clustered,n<=60,B2000,RT,0,5,0.10998789070679975,0.007423767140461025,0.31417025432504725
tsp,clustered,n<=60,B2000,2OPT,1,5,0.21966038484758355,0.045121880603298505,0.4685624985238509
tsp,clustered,n<=60,B2000,SA,4,5,0.5610184567811016,0.2918935847101954,0.8037902332538757
tsp,clustered,n<=60,B2000,ILS,0,5,0.10933326766451207,0.00638523627713929,0.3075807200400076
tsp,clustered,n>60,B10000,RT,0,5,0.11186320210867018,0.006405959786399616,0.32511055000711353
tsp,clustered,n>60,B10000,2OPT,0,5,0.10928698973201909,0.00618943406081684,0.30813420987626905
tsp,clustered,n>60,B10000,SA,5,5,0.6650984893961165,0.4021480380420616,0.886502579413594
tsp,clustered,n>60,B10000,ILS,0,5,0.11375131876319544,0.007086052362414018,0.3122156749474242
tsp,clustered,n>60,B2000,RT,0,5,0.1116329656086656,0.005841904833796636,0.316618786795956
tsp,clustered,n>60,B2000,2OPT,1,5,0.2224042059962829,0.04764036553100598,0.4705139247044741
tsp,clustered,n>60,B2000,SA,4,5,0.5541623490909277,0.2876519066587421,0.8037236935709878
tsp,clustered,n>60,B2000,ILS,0,5,0.11180047930412425,0.006521632836139582,0.3145935087468468
tsp,uniform,n<=30,B10000,RT,0,5,0.10894523402783547,0.006206434427341724,0.31020180762231386
tsp,uniform,n<=30,B10000,2OPT,5,5,0.6673599560757759,0.402776139382008,0.8913428251049
tsp,uniform,n<=30,B10000,SA,0,5,0.11090656877802173,0.006293691396735278,0.3042285014331614
tsp,uniform,n<=30,B10000,ILS,0,5,0.11278824111836713,0.006780147725063717,0.313024966315137
tsp,uniform,n<=30,B2000,RT,0,5,0.110595206120332,0.006148576067817499,0.3089893868763142
tsp,uniform,n<=30,B2000,2OPT,4,5,0.5539206404660159,0.28629676414793903,0.8046021262519505
tsp,uniform,n<=30,B2000,SA,0,5,0.1127119618965612,0.006328294194017129,0.31472525403132506
tsp,uniform,n<=30,B2000,ILS,1,5,0.22277219151709082,0.04757573883278513,0.4730969761214333
tsp,uniform,n<=60,B10000,RT,0,5,0.11343487906338355,0.0062131350045273636,0.32200949949331414
tsp,uniform,n<=60,B10000,2OPT,3,5,0.4438546200632878,0.19438302964080953,0.7062406574890863
tsp,uniform,n<=60,B10000,SA,2,5,0.33128965985860526,0.11153773678713641,0.5926999624527183
tsp,uniform,n<=60,B10000,ILS,0,5,0.1114208410147225,0.005869484402976638,0.31755314466745604
tsp,uniform,n<=60,B2000,RT,0,5,0.1097486890253583,0.005444334448703181,0.3114875491499476
tsp,uniform,n<=60,B2000,2OPT,3,5,0.4456778647666444,0.19223279529216392,0.7151892235745612
tsp,uniform,n<=60,B2000,SA,2,5,0.332973061072283,0.10888966596095309,0.5950241673380964
tsp,uniform,n<=60,B2000,ILS,0,5,0.11160038513571255,0.007243588451454566,0.3181801304693244
tsp,uniform,n>60,B10000,RT,0,5,0.10989116893501903,0.006115568696879292,0.30847232634335037
tsp,uniform,n>60,B10000,2OPT,1,5,0.2218436885657503,0.04521497490235534,0.47389604447980826
tsp,uniform,n>60,B10000,SA,4,5,0.557569167169282,0.29013507978564773,0.8066538198193158
tsp,uniform,n>60,B10000,ILS,0,5,0.11069597532994813,0.006467864051821508,0.3078009897862306
tsp,uniform,n>60,B2000,RT,0,5,0.11163520868470621,0.006696242293764499,0.30970098882100017
tsp,uniform,n>60,B2000,2OPT,3,5,0.44511215091491013,0.19796755530899235,0.7081264248171643
tsp,uniform,n>60,B2000,SA,2,5,0.3330796696836461,0.11000683211836394,0.6063439504014004
tsp,uniform,n>60,B2000,ILS,0,5,0.11017297071673693,0.006700025964685102,0.30753948338216197
